date,away_team,a_team_name,R_A,home_team,h_team_name,R_H,Ganador_Pitcher,Perdedor_Pitcher,Salvado_Pitcher,ganador
2025-06-14,CIN,Cincinnati Reds,11,DET,Detroit Tigers,1,Brady Singer,Jack Flaherty,NotApplyed,0
2025-06-14,PIT,Pittsburgh Pirates,1,CHC,Chicago Cubs,2,Matthew Boyd,Ryan Borucki,Daniel Palencia,1
2025-06-14,LAA,Los Angeles Angels,5,BAL,Baltimore Orioles,6,Keegan Akin,Tyler Anderson,Félix Bautista,1
2025-06-14,TOR,Toronto Blue Jays,2,PHI,Philadelphia Phillies,3,Orion Kerkering,Chad Green,Matt Strahm,1
2025-06-14,CHW,Chicago White Sox,4,TEX,Texas Rangers,5,Jacob Latz,Tyler Alexander,NotApplyed,1
2025-06-14,COL,Colorado Rockies,1,ATL,Atlanta Braves,4,Spencer Strider,Chase Dollander,NotApplyed,1
2025-06-14,MIN,Minnesota Twins,2,HOU,Houston Astros,3,Josh Hader,Jhoan Duran,NotApplyed,1
2025-06-14,OAK,Athletics,4,KCR,Kansas City Royals,0,Jacob Lopez,Michael Lorenzen,NotApplyed,0
2025-06-14,STL,St. Louis Cardinals,8,MIL,Milwaukee Brewers,5,Kyle Leahy,Jose Quintana,NotApplyed,0
2025-06-14,TBR,Tampa Bay Rays,8,NYM,New York Mets,4,Drew Rasmussen,Tylor Megill,NotApplyed,0
2025-06-14,SDP,San Diego Padres,7,ARI,Arizona Diamondbacks,8,Kevin Ginkel,Robert Suarez,NotApplyed,1
2025-06-14,NYY,New York Yankees,3,BOS,Boston Red Sox,4,Hunter Dobbins,Carlos Rodón,Greg Weissert,1
2025-06-14,CLE,Cleveland Guardians,3,SEA,Seattle Mariners,4,Jackson Kowar,Emmanuel Clase,NotApplyed,1
2025-06-14,SFG,San Francisco Giants,5,LAD,Los Angeles Dodgers,11,Clayton Kershaw,Landen Roupp,NotApplyed,1
2025-06-18,BOS,Boston Red Sox,3,SEA,Seattle Mariners,1,Garrett Crochet,Luis Castillo,Greg Weissert,0
2025-06-18,PHI,Philadelphia Phillies,4,MIA,Miami Marlins,2,Ranger Suárez,Adam Mazur,Matt Strahm,0
2025-06-18,COL,Colorado Rockies,3,WSN,Washington Nationals,1,Germán Márquez,Mitchell Parker,Seth Halvorsen,0
2025-06-18,LAA,Los Angeles Angels,3,NYY,New York Yankees,2,Héctor Neris,Fernando Cruz,Kenley Jansen,0
2025-06-18,ARI,Arizona Diamondbacks,1,TOR,Toronto Blue Jays,8,Eric Lauer,Eduardo Rodríguez,NotApplyed,1
2025-06-18,MIN,Minnesota Twins,2,CIN,Cincinnati Reds,4,Nick Lodolo,Bailey Ober,NotApplyed,1
2025-06-18,NYM,New York Mets,0,ATL,Atlanta Braves,5,Chris Sale,Paul Blackburn,NotApplyed,1
2025-06-18,BAL,Baltimore Orioles,8,TBR,Tampa Bay Rays,12,Mason Montgomery,Andrew Kittredge,NotApplyed,1
2025-06-18,KCR,Kansas City Royals,6,TEX,Texas Rangers,3,Kris Bubic,Patrick Corbin,Carlos Estévez,0
2025-06-18,CLE,Cleveland Guardians,4,SFG,San Francisco Giants,2,Logan Allen,Justin Verlander,Emmanuel Clase,0
2025-06-18,HOU,Houston Astros,11,OAK,Athletics,4,Framber Valdez,Luis Severino,NotApplyed,0
2025-06-18,SDP,San Diego Padres,3,LAD,Los Angeles Dodgers,4,Justin Wrobleski,Robert Suarez,NotApplyed,1
2025-06-22,BAL,Baltimore Orioles,2,NYY,New York Yankees,4,Fernando Cruz,Bryan Baker,Devin Williams,1
2025-06-22,DET,Detroit Tigers,9,TBR,Tampa Bay Rays,3,Tyler Holton,Garrett Cleavinger,NotApplyed,0
2025-06-22,TEX,Texas Rangers,3,PIT,Pittsburgh Pirates,8,Bailey Falter,Jack Leiter,NotApplyed,1
2025-06-22,CHW,Chicago White Sox,4,TOR,Toronto Blue Jays,2,Jordan Leasure,Brendon Little,Grant Taylor,0
2025-06-22,ATL,Atlanta Braves,3,MIA,Miami Marlins,5,Sandy Alcantara,Bryce Elder,Ronny Henriquez,1
2025-06-22,MIL,Milwaukee Brewers,9,MIN,Minnesota Twins,8,Rob Zastryzny,David Festa,Trevor Megill,0
2025-06-22,CIN,Cincinnati Reds,4,STL,St. Louis Cardinals,1,Andrew Abbott,Miles Mikolas,Emilio Pagán,0
2025-06-22,SEA,Seattle Mariners,14,CHC,Chicago Cubs,6,Logan Gilbert,Colin Rea,NotApplyed,0
2025-06-22,ARI,Arizona Diamondbacks,2,COL,Colorado Rockies,4,Antonio Senzatela,Brandon Pfaadt,Seth Halvorsen,1
2025-06-22,CLE,Cleveland Guardians,3,OAK,Athletics,0,Slade Cecconi,JP Sears,Emmanuel Clase,0
2025-06-22,BOS,Boston Red Sox,5,SFG,San Francisco Giants,9,Erik Miller,Greg Weissert,NotApplyed,1
2025-06-22,HOU,Houston Astros,8,LAA,Los Angeles Angels,7,Ryan Gusto,Hunter Strickland,Josh Hader,0
2025-06-22,WSN,Washington Nationals,7,LAD,Los Angeles Dodgers,13,Ben Casparius,Jose A. Ferrer,NotApplyed,1
2025-06-22,KCR,Kansas City Royals,2,SDP,San Diego Padres,3,Robert Suarez,Daniel Lynch IV,NotApplyed,1
2025-06-22,NYM,New York Mets,1,PHI,Philadelphia Phillies,7,Jesús Luzardo,David Peterson,NotApplyed,1
2025-06-28,OAK,Athletics,7,NYY,New York Yankees,0,JP Sears,Clarke Schmidt,Jack Perkins,0
2025-06-28,MIN,Minnesota Twins,5,DET,Detroit Tigers,10,Casey Mize,Bailey Ober,NotApplyed,1
2025-06-28,TBR,Tampa Bay Rays,11,BAL,Baltimore Orioles,3,Zack Littell,Zach Eflin,NotApplyed,0
2025-06-28,NYM,New York Mets,2,PIT,Pittsburgh Pirates,9,Braxton Ashcraft,Paul Blackburn,NotApplyed,1
2025-06-28,SEA,Seattle Mariners,2,TEX,Texas Rangers,3,Shawn Armstrong,Andrés Muñoz,NotApplyed,1
2025-06-28,MIA,Miami Marlins,8,ARI,Arizona Diamondbacks,7,Anthony Bender,Juan Morillo,NotApplyed,0
2025-06-28,TOR,Toronto Blue Jays,1,BOS,Boston Red Sox,15,Lucas Giolito,Chris Bassitt,NotApplyed,1
2025-06-28,SFG,San Francisco Giants,0,CHW,Chicago White Sox,1,Adrian Houser,Robbie Ray,Grant Taylor,1
2025-06-28,SDP,San Diego Padres,6,CIN,Cincinnati Reds,4,Bryan Hoeing,Lyon Richardson,Robert Suarez,0
2025-06-28,STL,St. Louis Cardinals,9,CLE,Cleveland Guardians,6,Matt Svanson,Matt Festa,Ryan Helsley,0
2025-06-28,LAD,Los Angeles Dodgers,5,KCR,Kansas City Royals,9,Seth Lugo,Ben Casparius,NotApplyed,1
2025-06-28,COL,Colorado Rockies,0,MIL,Milwaukee Brewers,5,Quinn Priester,Antonio Senzatela,NotApplyed,1
2025-06-28,PHI,Philadelphia Phillies,1,ATL,Atlanta Braves,6,Spencer Schwellenbach,Jesús Luzardo,NotApplyed,1
2025-06-28,CHC,Chicago Cubs,12,HOU,Houston Astros,3,Colin Rea,Lance McCullers Jr.,NotApplyed,0
2025-06-28,WSN,Washington Nationals,2,LAA,Los Angeles Angels,8,Ryan Zeferjahn,Zach Brzykcy,NotApplyed,1
2025-06-29,STL,St. Louis Cardinals,7,CLE,Cleveland Guardians,0,Matthew Liberatore,Logan Allen,NotApplyed,0
2025-06-29,PHI,Philadelphia Phillies,2,ATL,Atlanta Braves,1,Ranger Suárez,Spencer Strider,Matt Strahm,0
2025-06-29,TBR,Tampa Bay Rays,1,BAL,Baltimore Orioles,5,Dean Kremer,Taj Bradley,NotApplyed,1
2025-06-29,TOR,Toronto Blue Jays,5,BOS,Boston Red Sox,3,Yariel Rodríguez,Walker Buehler,Jeff Hoffman,0
2025-06-29,OAK,Athletics,5,NYY,New York Yankees,12,Marcus Stroman,Luis Severino,NotApplyed,1
2025-06-29,NYM,New York Mets,1,PIT,Pittsburgh Pirates,12,Carmen Mlodzinski,Frankie Montas,NotApplyed,1
2025-06-29,SDP,San Diego Padres,2,CIN,Cincinnati Reds,3,Emilio Pagán,Robert Suarez,NotApplyed,1
2025-06-29,SFG,San Francisco Giants,2,CHW,Chicago White Sox,5,Tyler Gilbert,Erik Miller,Mike Vasil,1
2025-06-29,CHC,Chicago Cubs,0,HOU,Houston Astros,2,Framber Valdez,Jameson Taillon,Josh Hader,1
