date,away_team,a_team_name,R_A,home_team,h_team_name,R_H,Ganador_Pitcher,Perdedor_Pitcher,Salvado_Pitcher,ganador
2025-08-09,TOR,Toronto Blue Jays,1,LAD,Los Angeles Dodgers,9,Blake Snell,Chris Bassitt,NotApplyed,1
2025-08-09,TBR,Tampa Bay Rays,4,SEA,Seattle Mariners,7,Logan Evans,Joe Boyle,Andrés Muñoz,1
2025-08-12,SEA,Seattle Mariners,1,BAL,Baltimore Orioles,0,George Kirby,Dean Kremer,Andrés Muñoz,0
2025-08-12,PHI,Philadelphia Phillies,1,CIN,Cincinnati Reds,6,Brady Singer,Ranger Suárez,NotApplyed,1
2025-08-12,MIA,Miami Marlins,3,CLE,Cleveland Guardians,4,Cade Smith,Calvin Faucher,NotApplyed,1
2025-08-12,MIN,Minnesota Twins,1,NYY,New York Yankees,9,Carlos Rodón,Travis Adams,NotApplyed,1
2025-08-12,CHC,Chicago Cubs,1,TOR,Toronto Blue Jays,5,José Berríos,Javier Assad,NotApplyed,1
2025-08-12,ATL,Atlanta Braves,5,NYM,New York Mets,13,Gregory Soto,Spencer Strider,Justin Hagenman,1
2025-08-12,DET,Detroit Tigers,6,CHW,Chicago White Sox,9,Yoendrys Gómez,Jack Flaherty,Jordan Leasure,1
2025-08-12,WSN,Washington Nationals,5,KCR,Kansas City Royals,8,Michael Wacha,Mitchell Parker,Lucas Erceg,1
2025-08-12,PIT,Pittsburgh Pirates,0,MIL,Milwaukee Brewers,14,Freddy Peralta,Paul Skenes,NotApplyed,1
2025-08-12,COL,Colorado Rockies,3,STL,St. Louis Cardinals,0,Kyle Freeland,Matthew Liberatore,Victor Vodnik,0
2025-08-12,ARI,Arizona Diamondbacks,3,TEX,Texas Rangers,2,Jalen Beeks,Danny Coulombe,Juan Morillo,0
2025-08-12,BOS,Boston Red Sox,14,HOU,Houston Astros,1,Dustin May,Spencer Arrighetti,NotApplyed,0
2025-08-12,LAD,Los Angeles Dodgers,6,LAA,Los Angeles Angels,7,Connor Brogdon,Ben Casparius,NotApplyed,1
2025-08-12,SDP,San Diego Padres,5,SFG,San Francisco Giants,1,Jason Adam,Robbie Ray,NotApplyed,0
